,feature_name,element,Gain
0,Time,269.71191930770874,0.6211259593875205
1,V21,51.98049998283386,0.11970712308211247
2,V1,25.738530039787292,0.059273869709659775
3,V6,18.365300178527832,0.04229388423806996
4,V19,17.734879851341248,0.0408420743531148
5,V14,16.22358000278473,0.03736166617995605
6,V16,9.23501992225647,0.0212675458463154
7,V10,7.947969913482666,0.0183035679341368
8,V3,7.1044429540634155,0.0163609897444767
9,Amount,4.034062087535858,0.009290137012783915
10,V12,3.976349949836731,0.00915723036561502
11,V5,2.1780800819396973,0.005015952146238637
